id,name,primary_attr,attack_type,roles,img,icon,base_health,base_health_regen,base_mana,base_mana_regen,base_armor,base_mr,base_attack_min,base_attack_max,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,attack_range,projectile_speed,attack_rate,base_attack_time,attack_point,move_speed,cm_enabled,legs,day_vision,night_vision,localized_name,1_pick,1_win,2_pick,2_win,3_pick,3_win,4_pick,4_win,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,turbo_picks,turbo_picks_trend,turbo_wins,turbo_wins_trend,pro_pick,pro_win,pro_ban,pub_pick,pub_pick_trend,pub_win,pub_win_trend
1,antimage,agi,Melee,"['Carry', 'Escape', 'Nuker']",/apps/dota2/images/dota_react/heroes/antimage.png?,/apps/dota2/images/dota_react/heroes/icons/antimage.png?,120,1.0,75,0.0,1,25,29,33,21,24,12,1.6,2.8,1.8,150,0,1.4,100,0.3,310,True,2,1800,800,Anti-Mage,21611,11022,63933,32754,82683,42136,81126,41224,61706,31143,38799,19788,22249,11106,10959,5363,150287,"[20345, 20650, 21175, 23999, 26499, 26284, 11335]",78349,"[10569, 10809, 11080, 12507, 13821, 13684, 5879]",189,97,383,416683,"[56794, 58714, 58837, 63084, 72108, 74392, 32754]",211225,"[28666, 29779, 29777, 31967, 36735, 37719, 16582]"
2,axe,str,Melee,"['Initiator', 'Durable', 'Disabler', 'Carry']",/apps/dota2/images/dota_react/heroes/axe.png?,/apps/dota2/images/dota_react/heroes/icons/axe.png?,120,2.5,75,0.0,0,25,31,35,25,20,18,2.8,1.7,1.6,150,900,1.7,100,0.4,315,True,2,1800,800,Axe,27687,14510,77591,40535,99596,50961,98221,49619,76273,37950,47919,23722,28549,14188,13216,6474,166661,"[22961, 23587, 23364, 25122, 29257, 30027, 12343]",85599,"[11871, 12122, 11978, 12865, 14970, 15443, 6350]",358,155,344,506991,"[70281, 71552, 71150, 75685, 88255, 91546, 38522]",257787,"[35544, 36520, 36331, 38553, 44796, 46586, 19457]"
3,bane,all,Ranged,"['Support', 'Disabler', 'Nuker', 'Durable']",/apps/dota2/images/dota_react/heroes/bane.png?,/apps/dota2/images/dota_react/heroes/icons/bane.png?,120,0.25,75,0.0,1,25,24,30,23,23,23,2.7,2.7,2.7,400,900,1.7,100,0.3,305,True,4,1800,1200,Bane,3803,1811,9280,4484,11637,5591,11913,5910,9865,5005,6559,3365,4732,2427,2904,1476,32521,"[4393, 4489, 4609, 4838, 5760, 6054, 2378]",15183,"[1978, 2094, 2181, 2234, 2714, 2862, 1120]",97,42,85,67996,"[9369, 9729, 9440, 10169, 11847, 12306, 5136]",33526,"[4629, 4807, 4656, 4956, 5865, 6074, 2539]"
4,bloodseeker,agi,Melee,"['Carry', 'Disabler', 'Nuker', 'Initiator']",/apps/dota2/images/dota_react/heroes/bloodseeker.png?,/apps/dota2/images/dota_react/heroes/icons/bloodseeker.png?,120,0.25,75,0.0,2,25,35,41,24,24,17,2.7,3.1,2.0,150,900,1.7,100,0.43,285,True,2,1800,800,Bloodseeker,12769,6507,23612,12029,23891,12132,20388,10456,14119,7157,8362,4280,4528,2324,1927,926,66091,"[8874, 9461, 9365, 9942, 11618, 11994, 4837]",32504,"[4351, 4607, 4659, 4811, 5636, 6003, 2437]",77,39,108,130990,"[18277, 18652, 18387, 19418, 22885, 23223, 10148]",66590,"[9331, 9445, 9290, 9932, 11620, 11760, 5212]"
5,crystal_maiden,int,Ranged,"['Support', 'Disabler', 'Nuker']",/apps/dota2/images/dota_react/heroes/crystal_maiden.png?,/apps/dota2/images/dota_react/heroes/icons/crystal_maiden.png?,120,0.25,75,0.0,0,25,30,36,17,16,18,2.2,1.8,3.3,600,900,1.7,100,0.45,280,True,2,1800,800,Crystal Maiden,23201,11972,56149,28246,66569,32916,63585,31324,49073,23854,31308,15334,19790,9631,10725,5169,146161,"[20440, 20631, 20548, 22290, 25733, 26382, 10137]",73134,"[10291, 10263, 10292, 11111, 12887, 13237, 5053]",268,127,41,350159,"[48889, 49733, 48616, 52242, 60979, 63089, 26611]",173715,"[24334, 24561, 23948, 25880, 30449, 31336, 13207]"
6,drow_ranger,agi,Ranged,"['Carry', 'Disabler', 'Pusher']",/apps/dota2/images/dota_react/heroes/drow_ranger.png?,/apps/dota2/images/dota_react/heroes/icons/drow_ranger.png?,120,0.25,75,0.0,0,25,29,36,16,22,15,1.9,2.9,1.4,625,1250,1.7,100,0.5,310,True,2,1800,800,Drow Ranger,27535,13437,63303,31362,76280,38189,74885,37767,56886,28696,35533,17876,20288,10130,8672,4270,235277,"[32613, 33345, 33168, 35748, 40978, 42394, 17031]",125279,"[17220, 17838, 17606, 19092, 21912, 22549, 9062]",232,119,250,403325,"[55963, 57188, 56612, 59864, 70268, 72436, 30994]",201483,"[28097, 28629, 28117, 29901, 35265, 36161, 15313]"
7,earthshaker,str,Melee,"['Support', 'Initiator', 'Disabler', 'Nuker']",/apps/dota2/images/dota_react/heroes/earthshaker.png?,/apps/dota2/images/dota_react/heroes/icons/earthshaker.png?,120,1.0,75,0.0,2,25,27,37,22,12,18,3.7,1.4,2.1,150,0,1.7,100,0.467,315,True,2,1800,800,Earthshaker,26646,13069,67536,32656,87539,42877,92949,45890,78314,39359,53400,27240,33770,17264,19150,9861,216219,"[29774, 30992, 30712, 33226, 37365, 37923, 16227]",103436,"[14159, 14892, 14886, 15849, 17871, 18005, 7774]",307,137,208,501001,"[69249, 71487, 71196, 75309, 85534, 88423, 39803]",248725,"[34265, 35497, 35278, 37406, 42473, 43874, 19932]"
8,juggernaut,agi,Melee,"['Carry', 'Pusher', 'Escape']",/apps/dota2/images/dota_react/heroes/juggernaut.png?,/apps/dota2/images/dota_react/heroes/icons/juggernaut.png?,120,0.5,75,0.0,0,25,22,24,20,34,14,2.0,2.8,1.4,150,0,1.4,110,0.33,300,True,2,1800,800,Juggernaut,28242,14681,76124,39871,99031,52591,98419,52030,73910,39260,44302,23282,24268,12633,9563,4903,228768,"[31281, 32027, 31784, 34451, 40209, 41420, 17596]",121618,"[16754, 17037, 16957, 18306, 21223, 22010, 9331]",227,117,128,496654,"[68076, 69709, 69018, 73607, 86320, 90324, 39600]",261160,"[35475, 36680, 36332, 38709, 45586, 47587, 20791]"
9,mirana,agi,Ranged,"['Carry', 'Support', 'Escape', 'Nuker', 'Disabler']",/apps/dota2/images/dota_react/heroes/mirana.png?,/apps/dota2/images/dota_react/heroes/icons/mirana.png?,120,0.25,75,0.4,-2,25,22,28,20,26,22,2.2,3.1,1.9,630,900,1.7,100,0.35,285,True,2,1800,800,Mirana,9541,4872,27872,14177,37518,19242,38702,19800,30459,15616,20201,10342,12828,6652,7210,3757,79128,"[10853, 11122, 11092, 11782, 13909, 14462, 5908]",41113,"[5630, 5821, 5831, 6097, 7163, 7456, 3115]",154,80,36,200675,"[28580, 28765, 27820, 29865, 34620, 35215, 15810]",102849,"[14581, 14691, 14310, 15388, 17762, 18007, 8110]"
10,morphling,agi,Ranged,"['Carry', 'Escape', 'Durable', 'Nuker', 'Disabler']",/apps/dota2/images/dota_react/heroes/morphling.png?,/apps/dota2/images/dota_react/heroes/icons/morphling.png?,120,0.5,75,0.5,-2,25,12,21,23,24,19,3.2,3.9,1.8,350,1300,1.5,100,0.5,285,True,0,1800,800,Morphling,10324,5057,31006,15092,43805,21325,49294,23921,44655,21892,33841,16795,24832,12523,18855,9748,106563,"[14040, 14493, 14985, 16929, 18837, 18922, 8357]",51364,"[6823, 6997, 7157, 8064, 9180, 9145, 3998]",236,121,384,271980,"[36915, 38223, 38583, 41592, 47410, 47755, 21502]",133879,"[18101, 18886, 19004, 20389, 23233, 23537, 10729]"
